,BT20,BT549,CAL120,CAL148,CAL51,DU4475,HCC1143,HCC1187,HCC1395,HCC1500,HCC1599,HCC1806,HCC1937,HCC2157,HCC38,HDQP1,HS578T,MDAMB157,MDAMB231,MDAMB436,MDAMB468
KRT5,8.4365775,0.5564950,0.5435685,0.7129134,0.2635739,9.1280809,1.9257645,7.5737909,7.6853908,0.8368072,9.6622572,9.7891974,6.2275324,0.5836748,9.0180876,4.1405409,0.3505702,0.7295694,0.2988134,0.4313828,9.1770866
KRT19,10.2018771, 3.2650746, 9.4420310,10.1905703, 8.0916026, 1.9379723, 8.1223792, 8.6210697, 1.7439537, 9.7774233,10.4412782,10.4951272, 3.5393151, 9.8458815,10.1732032, 9.6721156, 0.5562997, 0.7225905, 8.3578343, 0.6977802,10.3628710
SPARC, 0.8312582, 7.0725039, 8.8479205, 0.4849601, 6.0920661, 0.4236743, 0.8546518, 1.6648950, 4.7396360, 0.4515915, 0.4501859, 0.4186279, 4.4165000, 8.9921938, 5.3289497, 5.2326414,11.3564536,11.4824110, 0.5425517, 1.0632884, 1.5175384
KLK5, 7.43808495, 0.12090157, 0.75807989, 0.03973856, 0.13061149, 0.06554258, 6.11425133, 7.66760264, 0.36072641, 0.22823840, 3.72084836, 6.75217369,10.49388647, 4.74120794, 8.75979291, 6.50328918, 0.09114174, 0.06475424, 0.13570308, 0.11521244, 8.82872446
KRT81,0.5502239,1.4501650,0.8430554,0.5512670,0.1859217,7.3010250,7.9554838,0.9515011,9.3683049,0.5892443,2.8633698,0.7993207,7.6318162,7.4509866,9.3659351,9.8887852,1.0824299,0.7291720,4.8880208,0.1828866,7.7892219
MGP, 6.51840103, 6.10595006, 5.29344892, 0.61758640, 2.76953572, 0.03038483, 5.48667670,11.07963468, 6.92156921, 8.73433275, 0.23261207, 0.38287983, 5.72760662, 7.59630261, 9.29790841, 5.54639182, 1.08962634, 0.96052835, 0.03434054, 0.08135719, 8.15380435
IGFBP5,10.0521670, 0.5686114, 5.7705078, 0.8897230, 0.3437851, 0.1825059, 1.8580924, 3.9095136, 5.7126471,10.8220466, 1.8445563, 0.6748467, 4.9480069, 1.1836121, 9.6123326, 1.5247191, 6.5769653, 0.4747374, 0.1720286, 2.1779206, 5.5410088
TACSTD2,6.3909389,0.2879814,7.1472074,2.2136926,0.2065910,1.7375610,7.8277420,4.9063352,0.4641409,6.5701693,7.5624266,8.0075245,8.6990300,7.1291492,8.1187003,8.6255353,0.1414484,0.1375972,4.5637026,0.1998524,8.2953851
RARRES1, 3.9788196, 0.5751294, 1.3106869, 0.2629816, 1.1546232, 0.6702990, 4.0561093, 7.8015340, 1.9443829, 0.5711778, 0.9485301, 0.1310466, 9.9211362, 3.0986732, 6.2529198,10.2553718, 0.7309809, 0.6241073, 0.1432481, 1.5991704, 8.3360138
VIM, 1.5574555, 9.0476260, 9.0116043, 1.2277913, 5.0407893, 0.7123842, 8.1034012, 4.3807498, 8.2817081, 0.8045792, 4.4786668, 0.8207916, 1.4733866, 7.5895132, 5.8461485, 5.0081084,10.1775137, 9.7534532, 8.9839149, 7.8876378, 2.9586184
CALML5,0.24598071,0.00000000,0.00000000,6.53884514,0.06827253,9.09321170,4.78857427,1.24984188,0.00000000,0.30187852,6.41069253,5.06528398,5.71306646,8.47835255,0.32672339,6.07953931,0.02779763,0.00000000,0.03356556,0.00000000,6.70160883
KRT14,1.27057900,0.74794356,0.13974500,0.34739655,0.08930277,0.01572937,1.59587971,1.20846077,9.33815272,0.54875578,4.87934178,8.89707361,5.83611269,5.49823981,1.42443844,1.42200046,9.77887943,0.03090835,0.12835919,0.33720797,5.53684954
RP11-124N14.3, 1.7989274, 9.0375533, 9.0797134, 1.3855286, 5.1081950, 0.6486936, 8.4057721, 4.4186250, 8.3707446, 0.8166921, 4.4699050, 0.9854463, 1.3629688, 7.5135492, 5.7618814, 4.9612932,10.0244600, 9.6166661, 8.8098667, 7.6840167, 2.9024576
S100A9,10.01449643, 2.43605892, 0.25043729, 2.38884253, 0.24358572, 0.13057377, 4.90333245, 6.20757860, 3.44473827, 1.05390120, 4.88832818, 4.99953746, 7.96143706, 2.38227427, 2.53500395, 5.05581017, 0.16110618, 0.02232374, 0.73215759, 8.58591818,10.11962745
AZGP1,0.10370525,0.01287106,0.14954716,6.40080506,0.04144324,1.92665378,6.49467336,0.58565852,0.28500814,2.86173714,9.21599534,0.94828773,4.47755979,9.13620638,4.28282911,1.39981548,0.01678086,0.01771365,0.06651634,0.17900406,8.29959639
KRT17,2.5791528,0.6467773,0.6138426,0.9444562,0.7417020,0.3312583,7.5123913,6.1115385,2.0882474,1.1607156,5.6772723,5.1090364,7.8819095,0.1868752,1.2659098,9.2022244,8.7904886,0.2015863,1.1727267,1.7678068,8.5641850
KLK6,6.63044000,0.14495898,0.47769170,0.08283380,0.31230441,5.10630926,7.18531873,5.99754044,0.63488133,0.39422458,1.50966714,1.26869669,9.50035345,3.47511209,5.10552044,7.44680869,0.03077621,0.04526756,0.07337567,0.14230328,8.11893426
KRT7,9.4722999,6.1100491,2.1806594,4.0301428,0.5638415,1.2404802,8.1568134,8.0126365,4.1257825,4.9934040,8.4906488,8.1056095,9.2141356,7.8382265,9.5278335,9.8205607,2.0409346,0.9382931,7.8015768,2.3919261,8.6674317
COL1A2, 0.69440194, 8.03675282, 5.16994304, 0.29307708, 2.28500620, 0.12330726, 0.09465751, 1.22569192, 7.53807156, 0.27987800, 0.25466005, 0.25312238, 2.08011861, 1.94973367, 2.82961407, 5.87452928,11.73001025, 0.53998782, 1.50618619, 0.10067117, 0.35898256
VIM-AS1,1.3884545,8.1849045,8.3152809,0.8673959,4.3044353,0.5066349,7.1005015,3.8259591,7.4238138,0.4998489,3.9221012,0.5577540,1.1138911,6.9788912,5.3814305,4.3830552,9.6222628,9.1221950,8.4028350,7.2747053,2.4603770
COL3A1, 0.20982292, 6.41012070, 5.20441891, 0.05766585, 4.04576216, 0.04202211, 0.17694470, 2.72392597, 0.58023760, 0.56665723, 0.10964034, 0.17975569, 0.82162258, 0.82760297, 0.81643747, 0.76978282,10.59666750, 9.33729360, 0.15732243, 0.23415648, 0.85576211
CTGF, 0.2667156, 8.1243301, 6.3405332, 0.1454693, 5.9231424, 0.3522227, 6.4550075, 4.7677995, 5.0663167, 0.2269712, 4.0238180, 1.8545975, 1.7186184, 0.9078492, 9.5031684, 3.6119968,10.7159317, 3.0870322, 7.0748630, 2.3894404, 5.7656487
ANPEP,0.08965146,8.29337987,4.09856787,0.16754423,0.20215864,0.11367077,0.10248982,2.43769252,0.87207716,0.08469521,0.11555341,0.66235029,6.46673157,0.19140281,7.76748517,8.01298285,4.52318241,2.29298807,0.06861343,7.30668406,5.17793561
AKR1B1,10.0717564, 6.3546445, 6.1679554, 0.7407440, 5.6634655, 0.3224022, 0.6795155, 4.5205643, 9.1962138, 0.5686609, 3.7456956, 5.0203910, 7.6292099, 0.3596847, 6.8174490, 7.1628993, 6.1536522, 6.5182132, 6.6004148, 9.6866728, 7.2534413
KRT16,4.31430885,0.21894512,0.57506254,0.15871840,0.07209903,0.02516338,5.07716957,3.46492958,5.16792296,0.49284842,9.04121346,3.84678302,8.82826551,7.20651406,5.59850021,4.13553082,4.75024042,0.07926568,0.07009023,0.66400092,6.98254479
PI3,2.15617908,1.02103655,0.25043729,0.23521742,0.45192393,0.04485058,5.37300584,1.81447226,1.25006026,0.36637678,1.43993967,1.82226623,9.90647714,0.15710393,1.79360341,4.33133576,0.08280077,5.14441864,0.23717392,9.91567828,5.68198845
IGFBP7,0.3196188,6.1298790,3.0777943,0.1532045,7.2904479,4.8215084,7.1584719,1.0582774,2.4045933,0.4135446,0.5778774,6.5578836,1.2402201,0.8533761,5.6208699,3.9073324,9.3503853,7.3471423,8.1537757,3.2377242,0.8113013
FN1, 7.158379, 5.254507, 5.555699, 1.324368, 8.580689, 1.639117, 5.839824, 2.505173, 9.343573, 2.507935, 1.378454, 2.667481, 2.903706, 2.509665, 8.080947, 3.705034,12.096497, 8.032751, 6.567826, 7.185515, 3.828421
